scope,condition,seed,threshold,margin,paths,prefinal_commits,prefinal_errors,prefinal_committed_error_rate,committed_state_coverage,committed_revision_rate_per_path,revision_opportunities,revision_rate_per_opportunity,premature_exposure_rate,stage_two_path_coverage,time_to_first_commit,final_state_identity,stage1_committed_count,stage1_coverage,stage1_errors,stage1_committed_error_rate,stage2_committed_count,stage2_coverage,stage2_errors,stage2_committed_error_rate
official_test,H0,12345,0.0,0.1,6204,12408,5361,0.43205996131528046,1.0,0.6091231463571889,12408,0.30456157317859445,0.26466795615731786,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2401,0.38700838168923274
official_test,H0,12345,0.01,0.1,6204,12408,5322,0.42891682785299806,1.0,0.5920373952288845,12408,0.29601869761444227,0.2617666021921341,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2362,0.38072211476466794
official_test,H0,12345,0.02,0.1,6204,12408,5265,0.4243230174081238,1.0,0.5793036750483559,12408,0.28965183752417795,0.2585428755641522,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2305,0.3715344938749194
official_test,H0,12345,0.03,0.1,6204,12408,5261,0.4240006447453256,1.0,0.5778529980657641,12408,0.28892649903288203,0.25838168923275306,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2301,0.370889748549323
official_test,H0,12345,0.04,0.1,6204,12408,5227,0.42126047711154097,1.0,0.5440038684719536,12408,0.2720019342359768,0.25128949065119277,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2267,0.3654094132817537
official_test,H0,12345,0.05,0.1,6204,12408,5165,0.41626370083816894,1.0,0.5161186331399097,12408,0.25805931656995484,0.2438749194068343,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2205,0.3554158607350097
official_test,H0,12345,0.06,0.1,6204,12408,5165,0.41626370083816894,1.0,0.5161186331399097,12408,0.25805931656995484,0.2438749194068343,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2205,0.3554158607350097
official_test,H0,12345,0.07,0.1,6204,12408,5165,0.41626370083816894,1.0,0.5161186331399097,12408,0.25805931656995484,0.2438749194068343,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2205,0.3554158607350097
official_test,H0,12345,0.08,0.1,6204,12408,5165,0.41626370083816894,1.0,0.5161186331399097,12408,0.25805931656995484,0.2438749194068343,1.0,1.0,1.0,6204,1.0,2960,0.4771115409413282,6204,1.0,2205,0.3554158607350097
official_test,H0,12345,0.09,0.1,6204,12228,4999,0.4088158325155381,0.9854932301740812,0.5006447453255964,12228,0.2540071965979719,0.23613797549967763,1.0,1.0290135396518376,1.0,6024,0.9709864603481625,2794,0.4638114209827357,6204,1.0,2205,0.3554158607350097
official_test,H0,12345,0.1,0.1,6204,11709,4528,0.3867110769493552,0.9436653771760155,0.437137330754352,11709,0.23161670509864207,0.19600257898130238,0.9895228884590587,1.112669245647969,1.0,5570,0.8978078658929722,2382,0.42764811490125676,6139,0.9895228884590587,2146,0.34956833360482165
official_test,H0,12345,0.11,0.1,6204,10967,3853,0.351326707394912,0.8838652482269503,0.3471953578336557,10967,0.19640740403027263,0.14200515796260477,0.9766279819471309,1.2322695035460993,1.0,4908,0.7911025145067698,1778,0.3622656886715566,6059,0.9766279819471309,2075,0.3424657534246575
official_test,H0,12345,0.12,0.1,6204,10787,3687,0.3418003151942153,0.8693584784010316,0.3280141843971631,10787,0.1886530082506721,0.13265635074145712,0.9695357833655706,1.2612830431979367,1.0,4772,0.7691811734364926,1654,0.34660519698239733,6015,0.9695357833655706,2033,0.33798836242726515
official_test,H0,12345,0.13,0.1,6204,10778,3678,0.341250695861941,0.8686331399097357,0.3272082527401676,10778,0.1883466320282056,0.13217279174725982,0.9680851063829787,1.2627337201805287,1.0,4772,0.7691811734364926,1654,0.34660519698239733,6006,0.9680851063829787,2024,0.336996336996337
